Number,Name,Latitude,Longitude,District,Public,Docks,Bikes
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.3691903177,-71.1171412468,Cambridge,Yes,19,8
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,Yes,19,10
K32010,High St at Cypress St,42.325384357,-71.1217759553,Brookline,Yes,15,10
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174846,-71.102861166,Boston,Yes,25,13
A32040,Honan Library,42.360273704499996,-71.1285245233,Boston,Yes,15,13
B32033,Huntington Ave at Mass Art,42.3365855546,-71.0988699647,Boston,Yes,15,9
M32044,Huron Ave At Vassal Lane,42.381650612899996,-71.134269815,Cambridge,Yes,19,11
C32089,Hyde Park Ave at Walk Hill St,42.2960670465,-71.1160119996,Boston,Yes,15,8
E32003,Hyde Square - Barbara St at Centre St,42.3217652572,-71.1098416057,Boston,Yes,15,6
C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,9
C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,9
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,15,8
M32062,Inman Square at Springfield St.,42.3743840852,-71.1001574622,Cambridge,Yes,19,11
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.3631449888,-71.1229857431,Boston,Yes,15,7
E32006,Jackson Square T Stop,42.322931172,-71.1001414061,Boston,Yes,18,9
D32052,Jamaica St at South St,42.3060456272,-71.11570891,Boston,Yes,19,10
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,Brookline,Yes,15,5
C32013,JFK/UMass T Stop,42.3203397352,-71.05118036270001,Boston,Yes,15,9
M32032,Kendall Street,42.3635601584,-71.08216792350001,Cambridge,Yes,15,5
M32004,Kendall T,42.3624278429,-71.08495473859999,Cambridge,Yes,23,8
B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,27,14
M32065,Kennedy-Longfellow School 158 Spring St,42.3695529776,-71.08579014979999,Cambridge,Yes,19,9
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.363464693000005,-71.1005732417,Cambridge,Yes,15,9
B32015,Landmark Center - Brookline Ave at Park Dr,42.3436905572,-71.1023528688,Boston,Yes,15,6
B32058,Lansdowne T Stop,42.3473447318,-71.1001680795,Boston,Yes,27,16
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,Cambridge,Yes,19,16
M32039,Lesley University,42.3867480205,-71.11901879310001,Cambridge,Yes,15,6
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,10
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828000000004,-71.130516,Cambridge,Yes,19,15
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,8
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185032,-71.11387163399999,Cambridge,Yes,19,11
S32013,Magoun Square at Trum Field,42.3977833996,-71.1059400447,Somerville,Yes,15,7
D32020,Main St at Austin St,42.375603000000005,-71.06460799999999,Boston,Yes,11,2
D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,10
V32010,Main St at Beacon St,42.4093300667,-71.0638187829,Everett,Yes,15,1
D32038,Main St at Thompson Sq,42.374878467399995,-71.0638349877,Boston,Yes,15,6
V32002,Main Street at Carter Street,42.4061515727,-71.06040745050001,Everett,Yes,11,6
K32012,Marion St at Harvard St,42.339780526700004,-71.12133350229999,Brookline,Yes,15,6
M32061,Mass Ave at Albany St,42.3613583766,-71.0967027398,Cambridge,Yes,18,8
M32056,Mass Ave at Hadley/Walden,42.3912097192,-71.1226075516,Cambridge,Yes,19,10
C32063,Mass Ave T Station,42.3413561577,-71.0833695345,Boston,Yes,16,6
C32004,Massachusetts Ave at Columbus Ave,42.3405426155,-71.0813884791,Boston,Yes,14,7
C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15,8
C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15,3
A32030,Maverick Square - Lewis Mall,42.3688440829,-71.0397782922,Boston,Yes,33,21
A32044,Maverick St at Massport Path,42.3677412231,-71.0333597474,Boston,Yes,15,6
D32037,Medford St at Charlestown BCYF,42.3804294745,-71.0605572168,Boston,Yes,19,11
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27,14
M32041,MIT Pacific St at Purrington St,42.3595732011,-71.1012947559,Cambridge,Yes,19,6
M32005,MIT Stata Center at Vassar St / Main St,42.3621312345,-71.0911560059,Cambridge,Yes,35,18
M32042,MIT Vassar St,42.3556012133,-71.1039447784,Cambridge,Yes,25,13
B32023,MLK Blvd at Washington St,42.3214381418,-71.091260612,Boston,Yes,15,8
C23045,Morton St T,42.280725142899996,-71.0861724243,Boston,Yes,15,5
M32043,Mt Auburn,42.3747862871,-71.1332023144,Cambridge,Yes,19,12
C32080,Mt. Hope St at Hyde Park Ave,42.2848447244,-71.11874517060001,Boston,Yes,19,8
D32017,Mugar Way at Beacon St,42.3555362849,-71.0728687048,Boston,Yes,19,11
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19,13
M32045,Museum of Science,42.3676901802,-71.0711628199,Cambridge,Yes,19,10
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,37,22
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15,7
D32001,New Balance - 20 Guest St,42.3573292187,-71.14673540000001,Boston,Yes,15,9
B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,23,10
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15,8
V32001,Norman St at Kelvin St,42.4114322297,-71.0682326509,Everett,Yes,15,9
C32078,Northbourne Rd at Hyde Park Ave,42.2911803479,-71.11773666,Boston,Yes,19,10
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,15,10
D32031,Oak Square - 615 Washington St,42.350570000000005,-71.16649100000001,Boston,Yes,15,8
B32036,One Brigham Circle,42.3339227014,-71.1044650898,Boston,Yes,15,6
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.3622417865,-71.08311071989999,Cambridge,Yes,23,13
M32002,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,Cambridge,Yes,19,9
M32053,One Memorial Drive,42.3616193208,-71.0804355052,Cambridge,Yes,19,8
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19,8
S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15,6
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,Boston,Yes,27,12
A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15,8
D32042,Park Plaza at Charles St S.,42.3518280689,-71.0678113811,Boston,Yes,19,9
C32039,Park St at Norwell St,42.2944167,-71.0783056,Boston,Yes,15,4
S32034,Perry Park,42.379273246,-71.1034190283,Somerville,Yes,19,7
A32029,Piers Park,42.3648929327,-71.03497177359999,Boston,Yes,19,11
M32029,Porter Square Station,42.387995000000004,-71.119084,Cambridge,Yes,19,11
D32012,Post Office Square,42.3558543552,-71.05459746,Boston,Yes,19,9
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,15,8
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.0806577655,Boston,Yes,18,6
A32026,Purchase St at Pearl St,42.354659000000005,-71.05318100000001,Boston,Yes,19,9
M32036,Rindge Avenue - O'Neill Library,42.392765999999995,-71.129042,Cambridge,Yes,19,6
C32058,Ring Rd,42.3482783854,-71.0804485531,Boston,Yes,15,8
M32035,Rogers St & Land Blvd,42.3657579821,-71.07699394229999,Cambridge,Yes,19,10
C32047,Roslindale Village - South St,42.287071999999995,-71.12775400000001,Boston,Yes,15,5
C32046,Roslindale Village - Washington St,42.2863071601,-71.12820532180001,Boston,Yes,15,6
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15,9
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,8
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.3178732935,-71.0824307799,Boston,Yes,10,3
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.336244448,-71.08798563479999,Boston,Yes,18,7
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,15,10
E32007,S Huntington Ave at Heath St,42.3276038704,-71.11089169979999,Boston,Yes,15,10
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,6
C32036,Seaport Blvd at Sleeper St,42.3531780919,-71.0481735692,Boston,Yes,15,9
B32014,Seaport Hotel - Congress St at Seaport Ln,42.3488102619,-71.0416774406,Boston,Yes,19,11
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.3514819346,-71.0443608463,Boston,Yes,19,9
M32063,Sennott Park Broadway at Norfolk Street,42.3686052425,-71.0993018561,Cambridge,Yes,19,14
D32048,Shawmut Ave at Oak St W,42.3485454341,-71.06559185319999,Boston,Yes,15,11
E32009,Shawmut T Stop,42.292916999999996,-71.06575,Boston,Yes,19,9
M32047,Sidney Research Campus/Erie Street at Waverly,42.3577530947,-71.1039340496,Cambridge,Yes,19,5
D32032,Silber Way,42.3494959951,-71.10057592390001,Boston,Yes,19,12
A32006,Soldiers Field Park - 111 Western Ave,42.3642634406,-71.1182756971,Boston,Yes,15,8
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,15,8
S32036,Somerville City Hall Annex,42.3918981159,-71.0974537583,Somerville,Yes,15,9
S32020,Somerville Hospital,42.3904494902,-71.10855950050001,Somerville,Yes,15,8
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,7
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,6
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47,22
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,11
C32087,Spring St at Powell St,42.277484441999995,-71.1634146796,Boston,Yes,19,13
K32007,St Mary's,42.3461970766,-71.1072868109,Brookline,Yes,15,8
C32024,State Street at Channel Center,42.344136999999996,-71.05260799999999,Boston,Yes,19,8
D32041,Stony Brook T Stop,42.316966,-71.10437399999999,Boston,Yes,15,9
D32049,Stuart St at Berkeley St,42.3495440311,-71.0724207387,Boston,Yes,19,12
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18,11
D32053,Sullivan Square,42.384452256399996,-71.0751485453,Boston,Yes,19,11
A32013,Surface Rd at India St,42.358155,-71.05216300000001,Boston,Yes,19,10
A32042,Surface Rd at Summer St,42.3529456978,-71.056564008,Boston,Yes,27,19
C32064,Sydney St at Carson St,42.320393743000004,-71.0535540805,Boston,Yes,19,8
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,10
K32008,Tappan St at Brookline Hills MBTA,42.332096063,-71.1284588277,Brookline,Yes,15,4
S32011,Teele Square,42.4023170338,-71.1267112942,Somerville,Yes,15,8
E32011,The Dimock Center,42.3193094318,-71.0963992386,Boston,Yes,16,7
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,10
C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,12
D32054,The Overlook at St. Gabriel's,42.3467900835,-71.14549813810001,Boston,Yes,19,7
C32049,Thetford Ave at Norfolk St,42.2862129482,-71.0794293137,Boston,Yes,15,8
M32048,Third at Binney,42.3654448614,-71.0827714205,Cambridge,Yes,15,8
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,11
B32056,Tremont St at Hamilton Pl,42.3566833497,-71.0616664588,Boston,Yes,19,10
C32056,Tremont St at Northampton St,42.3388955964,-71.0814997561,Boston,Yes,19,9
C32060,Tremont St at W. Dedham St,42.3425491374,-71.0742144939,Boston,Yes,15,11
D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,5
C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14,6
A32001,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,Boston,Yes,19,12
S32002,Union Square - Somerville,42.379674481,-71.09391324239999,Somerville,Yes,19,12
C32014,University of Massachusetts Boston - Campus Center,42.3121891848,-71.03648586199999,Boston,Yes,19,10
M32040,University Park,42.3626477912,-71.1000609398,Cambridge,Yes,19,13
C32019,Uphams Corner,42.3172747433,-71.0653700397,Boston,Yes,15,7
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.3186973417,-71.0697814822,Boston,Yes,15,5
M32057,Vassal Lane at Tobin/VLUS,42.383932248899995,-71.1396127196,Cambridge,Yes,19,13
M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.1130535603,Cambridge,Yes,19,7
C32029,W Broadway at D St,42.3391085,-71.05144320000001,Boston,Yes,23,7
C32016,W Broadway at Dorchester St,42.3359589794,-71.0462289956,Boston,Yes,17,10
B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,Yes,15,11
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,11
K32014,Washington Sq,42.339406591999996,-71.13489642270001,Brookline,Yes,15,8
C32042,Washington St at Bradlee St,42.299164979400004,-71.0734587165,Boston,Yes,15,8
D32029,Washington St at Brock St,42.3489528467,-71.1603167653,Boston,Yes,15,10
C32081,Washington St at Denton Terr,42.2807281472,-71.1342375727,Boston,Yes,19,10
A32037,Washington St at Egremont Rd,42.3428683507,-71.1412784086,Boston,Yes,15,8
C32084,Washington St at Fuller St,42.2819862773,-71.0714792462,Boston,Yes,15,7
K32011,Washington St at Griggs Rd,42.338334237199994,-71.1305093022,Brookline,Yes,15,7
C32005,Washington St at Lenox St,42.3350989929,-71.0790377855,Boston,Yes,15,9
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,9
S32021,Washington St at Myrtle St,42.3817067592,-71.0837718659,Somerville,Yes,15,7
C32067,Washington St at Peters Park,42.3430329113,-71.0668873044,Boston,Yes,19,10
C32006,Washington St at Rutland St,42.3385146018,-71.0740408301,Boston,Yes,23,8
C32038,Washington St at Talbot Ave,42.290333000000004,-71.07180600000001,Boston,Yes,17,10
C32083,Washington St at Walsh Playground,42.277194696399995,-71.0695561395,Boston,Yes,19,10
D32002,Washington St at Waltham St,42.3415747187,-71.06890439989999,Boston,Yes,15,5
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.3515860012,-71.0456925631,Boston,Yes,15,5
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.337586011,-71.0962709785,Boston,Yes,14,8
D32022,West End Park,42.3659078845,-71.0644666851,Boston,Yes,35,22
A32043,Western Ave at Richardson St,42.3617874107,-71.1439311133,Boston,Yes,19,10
B32059,Whittier St Health Center,42.332862884899995,-71.0921886192,Boston,Yes,19,8
D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,19,10
S32005,Wilson Square,42.3856757875,-71.114121363,Somerville,Yes,15,9
